X,Y,OBJECTID,Date,SUM_number_of_confirmed_covid_1,SUM_no_new_admissions_covid19_p,SUM_no_discharges_covid19_posit
-6.292,53.3605,336,2021/02/05 11:00:00+00,1258,78,84
-6.292,53.3605,337,2021/02/06 11:00:00+00,1199,51,96
-6.292,53.3605,338,2021/02/07 11:00:00+00,1203,45,25
-6.292,53.3605,339,2021/02/08 11:00:00+00,1212,47,18
-6.292,53.3605,340,2021/02/09 11:00:00+00,1104,55,124
-6.292,53.3605,341,2021/02/10 11:00:00+00,1032,45,91
-6.292,53.3605,342,2021/02/11 11:00:00+00,984,52,55
-6.292,53.3605,343,2021/02/12 11:00:00+00,959,48,69
-6.292,53.3605,344,2021/02/13 11:00:00+00,898,55,63
-6.292,53.3605,345,2021/02/14 11:00:00+00,899,40,19
-6.292,53.3605,346,2021/02/15 11:00:00+00,916,41,16
-6.292,53.3605,347,2021/02/16 11:00:00+00,861,45,66
